#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.293731E+07   0.293731E+07   0.391616E+07   0.391615E+07   0.294641E+07   0.293736E+07   0.293731E+07   0.294677E+07  -0.600186E+00   0.292906E+07   0.292906E+07   0.668044E+01
   0.109829E-04   0.293731E+07   0.293731E+07   0.391610E+07   0.391609E+07   0.294641E+07   0.293736E+07   0.293731E+07   0.294677E+07  -0.600186E+00   0.292906E+07   0.292906E+07   0.737636E+01
   0.121272E-04   0.293731E+07   0.293731E+07   0.391603E+07   0.391602E+07   0.294640E+07   0.293735E+07   0.293731E+07   0.294677E+07  -0.600186E+00   0.292906E+07   0.292906E+07   0.814476E+01
   0.133906E-04   0.293731E+07   0.293731E+07   0.391594E+07   0.391593E+07   0.294639E+07   0.293735E+07   0.293731E+07   0.294677E+07  -0.600186E+00   0.292906E+07   0.292906E+07   0.899318E+01
   0.147857E-04   0.293731E+07   0.293731E+07   0.391584E+07   0.391583E+07   0.294639E+07   0.293735E+07   0.293731E+07   0.294677E+07  -0.600186E+00   0.292906E+07   0.292906E+07   0.992995E+01
   0.163261E-04   0.293731E+07   0.293731E+07   0.391571E+07   0.391570E+07   0.294638E+07   0.293735E+07   0.293731E+07   0.294677E+07  -0.600185E+00   0.292906E+07   0.292906E+07   0.109643E+02
   0.180270E-04   0.293731E+07   0.293731E+07   0.391555E+07   0.391554E+07   0.294637E+07   0.293735E+07   0.293731E+07   0.294676E+07  -0.600185E+00   0.292906E+07   0.292906E+07   0.121062E+02
   0.199051E-04   0.293731E+07   0.293730E+07   0.391536E+07   0.391534E+07   0.294635E+07   0.293735E+07   0.293731E+07   0.294676E+07  -0.600184E+00   0.292905E+07   0.292905E+07   0.133671E+02
   0.219788E-04   0.293730E+07   0.293730E+07   0.391513E+07   0.391511E+07   0.294634E+07   0.293735E+07   0.293730E+07   0.294676E+07  -0.600184E+00   0.292905E+07   0.292905E+07   0.147592E+02
   0.242687E-04   0.293730E+07   0.293730E+07   0.391485E+07   0.391482E+07   0.294632E+07   0.293734E+07   0.293730E+07   0.294676E+07  -0.600183E+00   0.292905E+07   0.292905E+07   0.162961E+02
   0.267970E-04   0.293730E+07   0.293730E+07   0.391450E+07   0.391447E+07   0.294629E+07   0.293734E+07   0.293730E+07   0.294675E+07  -0.600182E+00   0.292905E+07   0.292905E+07   0.179929E+02
   0.295888E-04   0.293729E+07   0.293729E+07   0.391408E+07   0.391404E+07   0.294626E+07   0.293734E+07   0.293729E+07   0.294675E+07  -0.600181E+00   0.292904E+07   0.292904E+07   0.198662E+02
   0.326714E-04   0.293729E+07   0.293729E+07   0.391357E+07   0.391352E+07   0.294623E+07   0.293733E+07   0.293729E+07   0.294674E+07  -0.600180E+00   0.292904E+07   0.292904E+07   0.219342E+02
   0.360752E-04   0.293728E+07   0.293728E+07   0.391295E+07   0.391289E+07   0.294618E+07   0.293732E+07   0.293728E+07   0.294673E+07  -0.600178E+00   0.292903E+07   0.292903E+07   0.242170E+02
   0.398336E-04   0.293728E+07   0.293728E+07   0.391219E+07   0.391211E+07   0.294613E+07   0.293732E+07   0.293728E+07   0.294672E+07  -0.600176E+00   0.292903E+07   0.292902E+07   0.267368E+02
   0.439836E-04   0.293727E+07   0.293727E+07   0.391126E+07   0.391117E+07   0.294606E+07   0.293731E+07   0.293727E+07   0.294671E+07  -0.600174E+00   0.292902E+07   0.292901E+07   0.295180E+02
   0.485659E-04   0.293726E+07   0.293726E+07   0.391013E+07   0.391002E+07   0.294598E+07   0.293730E+07   0.293726E+07   0.294670E+07  -0.600171E+00   0.292901E+07   0.292900E+07   0.325876E+02
   0.536256E-04   0.293724E+07   0.293724E+07   0.390875E+07   0.390861E+07   0.294588E+07   0.293728E+07   0.293724E+07   0.294668E+07  -0.600167E+00   0.292899E+07   0.292899E+07   0.359749E+02
   0.592125E-04   0.293723E+07   0.293723E+07   0.390707E+07   0.390690E+07   0.294576E+07   0.293727E+07   0.293723E+07   0.294666E+07  -0.600163E+00   0.292898E+07   0.292897E+07   0.397125E+02
   0.653814E-04   0.293721E+07   0.293721E+07   0.390502E+07   0.390482E+07   0.294562E+07   0.293725E+07   0.293721E+07   0.294664E+07  -0.600158E+00   0.292896E+07   0.292895E+07   0.438359E+02
   0.721930E-04   0.293719E+07   0.293718E+07   0.390253E+07   0.390228E+07   0.294544E+07   0.293722E+07   0.293718E+07   0.294661E+07  -0.600151E+00   0.292893E+07   0.292893E+07   0.483840E+02
   0.797142E-04   0.293716E+07   0.293715E+07   0.389949E+07   0.389919E+07   0.294522E+07   0.293719E+07   0.293716E+07   0.294657E+07  -0.600143E+00   0.292891E+07   0.292890E+07   0.533995E+02
   0.880190E-04   0.293712E+07   0.293712E+07   0.389579E+07   0.389542E+07   0.294496E+07   0.293716E+07   0.293712E+07   0.294653E+07  -0.600134E+00   0.292887E+07   0.292886E+07   0.589287E+02
   0.971891E-04   0.293708E+07   0.293708E+07   0.389128E+07   0.389083E+07   0.294464E+07   0.293712E+07   0.293708E+07   0.294647E+07  -0.600122E+00   0.292883E+07   0.292882E+07   0.650223E+02
   0.107314E-03   0.293703E+07   0.293702E+07   0.388579E+07   0.388524E+07   0.294424E+07   0.293706E+07   0.293703E+07   0.294640E+07  -0.600108E+00   0.292878E+07   0.292876E+07   0.717349E+02
   0.118495E-03   0.293697E+07   0.293696E+07   0.387910E+07   0.387844E+07   0.294377E+07   0.293700E+07   0.293696E+07   0.294632E+07  -0.600090E+00   0.292871E+07   0.292870E+07   0.791256E+02
   0.130840E-03   0.293689E+07   0.293688E+07   0.387097E+07   0.387016E+07   0.294318E+07   0.293692E+07   0.293689E+07   0.294622E+07  -0.600069E+00   0.292864E+07   0.292862E+07   0.872577E+02
   0.144471E-03   0.293680E+07   0.293679E+07   0.386107E+07   0.386009E+07   0.294247E+07   0.293682E+07   0.293679E+07   0.294610E+07  -0.600043E+00   0.292854E+07   0.292852E+07   0.961987E+02
   0.159522E-03   0.293668E+07   0.293667E+07   0.384904E+07   0.384784E+07   0.294161E+07   0.293670E+07   0.293668E+07   0.294596E+07  -0.600012E+00   0.292843E+07   0.292840E+07   0.106020E+03
   0.176142E-03   0.293654E+07   0.293653E+07   0.383441E+07   0.383296E+07   0.294055E+07   0.293656E+07   0.293654E+07   0.294578E+07  -0.599973E+00   0.292829E+07   0.292825E+07   0.116795E+03
   0.194493E-03   0.293637E+07   0.293636E+07   0.381665E+07   0.381489E+07   0.293927E+07   0.293639E+07   0.293637E+07   0.294556E+07  -0.599927E+00   0.292812E+07   0.292808E+07   0.128600E+03
   0.214755E-03   0.293617E+07   0.293615E+07   0.379509E+07   0.379296E+07   0.293770E+07   0.293617E+07   0.293617E+07   0.294530E+07  -0.599870E+00   0.292792E+07   0.292786E+07   0.141511E+03
   0.237129E-03   0.293592E+07   0.293590E+07   0.376897E+07   0.376638E+07   0.293580E+07   0.293592E+07   0.293592E+07   0.294498E+07  -0.599801E+00   0.292767E+07   0.292760E+07   0.155601E+03
   0.261834E-03   0.293561E+07   0.293559E+07   0.373735E+07   0.373422E+07   0.293348E+07   0.293560E+07   0.293561E+07   0.294458E+07  -0.599717E+00   0.292736E+07   0.292728E+07   0.170937E+03
   0.289112E-03   0.293524E+07   0.293522E+07   0.369913E+07   0.369535E+07   0.293066E+07   0.293522E+07   0.293524E+07   0.294411E+07  -0.599615E+00   0.292699E+07   0.292689E+07   0.187575E+03
